Type,Teff,Jstet,RMS_60m,LS_Period,LS_SNR,BLS_Period,BLS_SDE,VmKmag,w1mw4mag
MISC,4136.0,16.51434,0.03455,13.9165035,1322.09061,0.10409945,8.25417,3.1199998855591,4.8109998703003
MISC,5627.0,0.22241,0.00569,14.64895158,799.87252,13.916504,8.60558,1.7049999237059996,3.468000411987271
MISC,3574.0,4.24763,0.00754,13.916809,4360.28845,13.916809,9.04016,4.38000059127806,0.2730002403259304
ED,6511.0,0.46533,0.01517,1.29455847,243.23657,2.59169778,12.08422,1.0220003128051989,2.64200019836421
CST,4330.0,5.08603,0.01635,11.1332032,1896.30949,13.01386874,7.90967,2.8290004730224716,0.3070001602172798
DSCT,7212.0,-1.2532,0.00578,1.71808691,100.9624,0.12025953,9.02404,0.9169998168944993,4.0930004119872585
RR,3824.0,0.42553,0.01955,0.52757118,587.76696,0.52736894,8.75961,3.759999275207498,3.644999504089329
MISC,2905.0,30.90557,0.04705,13.25387143,3669.11099,0.10409946,8.68456,6.4619998931884295,0.44799995422363015
EC,5413.0,0.22869,0.00858,0.16420654,1274.53132,0.32816051,10.60675,1.8360004425049006,4.1730003356934
MISC,3948.0,3.48447,0.01016,14.64901579,3254.44452,13.916565,8.67218,3.451000213623031,2.50099992752076
EC,6493.0,15.39117,0.09705,0.21070112,12235.35414,0.21066723,10.56831,1.032000541687001,6.12100028991704
MISC,5827.0,0.49483,0.00729,9.59758862,353.44207,13.9165035,9.559,1.5930004119872994,2.89200019836424
EC,5491.0,14.67399,0.04775,0.16420654,11288.89138,0.32816051,10.48633,1.6899995803832795,0.94199943542481
MISC,2929.0,80.31391,0.06458,13.916565,3163.82794,0.10409946,8.44226,6.455000400543231,0.40799975395203036
DCEP,3906.0,0.30555,0.00977,3.16291114,779.63598,3.16385358,9.2927,3.5329999923706,1.55099964141845
ED,5921.0,-0.0143,0.00341,13.23428238,80.19082,0.21727818,10.32643,1.4680004119872994,2.9390001296996715
MISC,4049.0,5.97419,0.0102,13.25381333,1327.71365,0.10420759,8.64275,3.264999866485641,0.10100030899046963
EC,5322.0,7.31122,0.02401,0.15445959,13212.75776,0.15452899,9.92474,1.9249992370605398,1.25599956512451
DSCT,5933.0,-0.16619,0.00625,14.64927263,283.01644,0.18588095,10.11965,1.447999954223599,3.8979997634887287
MISC,4440.0,3.53167,0.01451,11.20646167,1963.79866,0.10423451,7.36704,2.7700004577636985,4.53800010681155
ED,6998.0,9.37005,0.07002,1.1744143,408.76667,2.34897464,13.09624,0.7799997329711985,1.6879997253418502
EC,5140.0,0.14826,0.02113,0.1242545,1462.17176,0.2484998,9.88767,1.9920005798339986,5.963000297546412
ED,5011.0,13.34951,0.05843,0.35603215,1830.64641,0.71289061,8.94172,2.116000175476101,4.950999259948741
MISC,4547.0,13.71804,0.03232,12.65136682,2383.31403,0.10409945,8.80561,2.5489997863769904,0.004000186920159798
MISC,5846.0,10.04404,0.02161,26.833007,1831.93707,11.8338973,9.67421,1.427000045776401,5.472999572753949
MISC,5726.0,-0.3117,0.00449,13.25404571,37.12628,0.1042076,6.60747,1.5120000839233008,6.02899932861329
MISC,5301.0,12.04278,0.02384,14.64927263,2867.27343,0.10409947,8.26648,1.847999572753901,3.5460004806519
DCEP,3751.0,2.62003,0.0285,6.9584045,7407.56676,7.06059211,10.97954,3.9060001373291016,1.3260002136230504
MISC,2936.0,12.20657,0.0138,12.65164455,2702.5365,0.10409947,8.10024,6.51900053024296,0.29800033569336026
MISC,3218.0,12.12485,0.02121,12.10157304,3269.58246,0.10409947,7.76179,5.7729997634888,0.3819999694824201
EC,3919.0,0.47041,0.01059,0.24489523,1466.13441,0.49003111,10.2335,3.640999794006399,3.0290002822875994
ED,7068.0,10.02313,0.04248,0.37410778,2058.5327,0.74750438,10.15752,0.7480001449584499,0.8940000534057706
MISC,5268.0,12.11737,0.03017,11.1332032,845.79158,0.10409945,8.32806,1.8769989013672,5.47299957275386
MISC,3319.0,4.65512,0.00698,9.51858,2444.2915,0.10409299,8.50026,5.10400009155272,0.47799968719482067
DSCT,7647.0,-1.14827,0.00802,8.18621471,33.32068,0.1272779,9.78081,0.9660005569458008,2.9239997863769105
DSCT,4559.0,-0.43533,0.00161,8.69785312,175.57231,0.15149536,9.34736,2.951999664306669,0.027999877929691053
CST,5908.0,-0.06219,0.00304,11.1250976,304.23385,13.00500804,9.35757,1.4270000457762997,2.5399999618530096
MISC,3722.0,5.18471,0.00476,11.59708625,2654.16617,11.51953623,9.45588,3.93400001525879,0.6989998817443901
MISC,3760.0,2.94889,0.0196,11.59734125,2028.2163,13.0141359,10.43485,3.8450002670288406,1.2009992599487305
RR,5781.0,2.45064,0.06938,0.49226096,1700.08702,0.49125685,8.03109,1.4729995727538991,6.2229995727539205
EC,3965.0,0.0594,0.00877,0.12550878,1752.89593,0.12552527,11.35532,3.5160007476806996,3.9110002517699893
MISC,3340.0,10.80117,0.0216,12.10130783,2179.70469,13.01386874,10.34109,5.08400011062621,0.3139996528625497
MISC,6335.0,1.10412,0.009,14.64901579,1615.74567,13.916565,10.17223,1.6230001449585014,1.4250001907349095
RR,6225.0,2.83782,0.05145,0.64878807,2090.7537,0.64845406,10.21293,1.1840000152587997,5.28299999237057
ED,5474.0,0.67126,0.00987,1.73825831,388.32285,3.4937925,11.45236,2.0010004043580008,3.95800018310549
MISC,5584.0,0.93926,0.0173,14.64927316,616.12813,13.9168095,9.29795,1.6870002746582013,3.5279998779297213
MISC,3158.0,17.03574,0.01373,13.916565,3117.47175,0.10409946,8.87405,5.632000446319579,0.30500006675719993
MISC,5235.0,-0.15003,0.00234,13.25387143,481.03055,13.916565,11.81563,2.1840000152587997,2.6479997634888015
ED,4281.0,-0.12779,0.00585,0.38075249,191.00515,0.76169205,13.04622,2.9899997711182014,4.989000320434579
DSCT,6929.0,-0.0088,0.00861,14.64927263,2938.32112,0.15931425,10.1366,0.8119993209839009,1.5490007400512393
MISC,4816.0,2.24794,0.0146,14.64927316,1040.83599,13.9168095,9.08807,2.2530002593994,2.171000480651891
EC,6432.0,10.05262,0.09061,0.32401639,5497.52648,0.64845406,10.64063,1.043999671936099,3.1370000839233594
MISC,2648.0,2.20716,0.00381,11.22266652,1693.15989,10.26495536,7.22812,7.60100030899046,1.1849999427795397
CST,6530.0,-0.17415,0.00139,23.19417333,478.97381,0.10426174,7.36557,1.012000083923299,2.018000602722191
DCEP,5350.0,0.5529,0.00952,2.31946817,2773.70132,2.32179287,8.10215,1.8060007095337003,2.5579996109008896
MISC,5510.0,11.07439,0.02709,9.27766933,328.13507,0.10409945,8.74553,1.6750001907348988,6.58199977874756
ED,3935.0,0.31673,0.01296,0.2035968,961.33992,0.20360339,12.2993,3.644000053405801,3.0799999237060316
DCEP,4634.0,0.40831,0.00537,4.63893633,1557.26779,13.916809,9.78862,2.446999549865799,0.4060001373290998
MISC,3286.0,4.57225,0.0076,21.41000615,15411.72765,13.916504,8.03394,5.21599960327145,0.3039999008178702
